Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,2453631285.00,2637988827.00,2615083799.00,2727932961.00,2791061453.00,2963128492.00,2983798883.00,3092178771.00,3202234637.00,3310055866.00,2496648045.00
Africa Eastern and Southern,860478000000.00,964418000000.00,973043000000.00,983937000000.00,1003680000000.00,924253000000.00,882355000000.00,1020650000000.00,991022000000.00,997534000000.00,921646000000.00
Afghanistan,15856678596.00,17805113119.00,19907317066.00,20146404996.00,20497126770.00,19134211764.00,18116562465.00,18753469630.00,18053228579.00,18799450743.00,20116137326.00
Africa Western and Central,591596000000.00,670983000000.00,727570000000.00,820793000000.00,864990000000.00,760734000000.00,690546000000.00,683749000000.00,741690000000.00,794543000000.00,784446000000.00
Angola,81699556137.00,109437000000.00,124998000000.00,133402000000.00,137244000000.00,87219290029.00,49840494026.00,68972763787.00,77792940077.00,69309104807.00,53619071176.00
Albania,11926922829.00,12890764531.00,12319830437.00,12776220507.00,13228147516.00,11386850130.00,11861199831.00,13019689337.00,15156432310.00,15401830754.00,15131866271.00
Andorra,3449925739.00,3629133574.00,3188652765.00,3193512950.00,3271685597.00,2789881259.00,2896610480.00,3000162081.00,3218419897.00,3155149348.00,2891001149.00
Arab World,2327010000000.00,2547960000000.00,2778080000000.00,2834610000000.00,2876010000000.00,2518700000000.00,2495860000000.00,2584100000000.00,2785880000000.00,2808100000000.00,2496250000000.00
United Arab Emirates,289787000000.00,350666000000.00,374591000000.00,390108000000.00,403137000000.00,358135000000.00,357045000000.00,385606000000.00,422215000000.00,417216000000.00,358869000000.00
Argentina,423627000000.00,530163000000.00,545982000000.00,552025000000.00,526320000000.00,594749000000.00,557531000000.00,643629000000.00,524820000000.00,452818000000.00,389591000000.00
Armenia,9260284938.00,10142111334.00,10619320049.00,11121465767.00,11609512940.00,10553337673.00,10546135160.00,11527458566.00,12457941907.00,13619291361.00,12641209802.00
American Samoa,573000000.00,570000000.00,640000000.00,638000000.00,643000000.00,673000000.00,671000000.00,612000000.00,639000000.00,648000000.00,709000000.00
Antigua and Barbuda,1148700000.00,1137637037.00,1199948148.00,1181448148.00,1249733333.00,1336692593.00,1436585185.00,1467977778.00,1605944444.00,1687533333.00,1370281481.00
Australia,1147590000000.00,1397910000000.00,1546510000000.00,1576340000000.00,1467500000000.00,1350530000000.00,1206690000000.00,1326880000000.00,1428530000000.00,1391950000000.00,1327840000000.00
Austria,392275000000.00,431685000000.00,409402000000.00,430191000000.00,442585000000.00,381971000000.00,395837000000.00,417261000000.00,455168000000.00,445012000000.00,433258000000.00
Azerbaijan,52909294792.00,65951627200.00,69683935845.00,74164435946.00,75244294275.00,53074370486.00,37867518957.00,40865558912.00,47112941176.00,48174235294.00,42693000000.00
Burundi,2032135247.00,2235820868.00,2333341375.00,2451606684.00,2705783272.00,3104003611.00,2639321196.00,2712324087.00,2660123624.00,2581268126.00,2780510625.00
Belgium,481421000000.00,523330000000.00,496153000000.00,521791000000.00,535390000000.00,462336000000.00,476063000000.00,502765000000.00,543347000000.00,535376000000.00,521677000000.00
Benin,9535344283.00,10693321954.00,11141358945.00,12517845732.00,13284528654.00,11388160958.00,11821066153.00,12701654743.00,14262407011.00,14391686633.00,15651545332.00
Burkina Faso,10109618964.00,12080296644.00,12561016091.00,13444301139.00,13943016924.00,11832159276.00,12833363370.00,14106956830.00,15890065020.00,16178162030.00,17933606353.00
Bangladesh,115279000000.00,128638000000.00,133356000000.00,149990000000.00,172885000000.00,195079000000.00,265236000000.00,293755000000.00,321379000000.00,351238000000.00,373902000000.00
Bulgaria,50682061053.00,57678241024.00,54300857424.00,55810138436.00,57082011260.00,50781996713.00,53953897624.00,59199447421.00,66363422450.00,68915416142.00,69889347433.00
Bahrain,25713271277.00,28776595745.00,30749308511.00,32539468085.00,33387712766.00,31050638298.00,32234973404.00,35473776596.00,37802005319.00,38653318085.00,34723357447.00
"Bahamas, The",10095760000.00,10070450000.00,10720500000.00,10562800000.00,11176100000.00,11861900000.00,11834600000.00,12357600000.00,12755800000.00,13192800000.00,9699500000.00
Bosnia and Herzegovina,17176781066.00,18644723861.00,17221192487.00,18172335776.00,18560861398.00,16219819344.00,16914287593.00,18079076427.00,20177422311.00,20201323283.00,19955120005.00
Belarus,57222490769.00,61757788945.00,65685102555.00,75527984234.00,78813839984.00,56454734397.00,47722657821.00,54726595249.00,60031262269.00,64409647194.00,61489588895.00
Belize,1387925188.00,1466822039.00,1531348953.00,1581844936.00,1676406802.00,1734320479.00,1796928937.00,1844906693.00,1887465218.00,1945250236.00,1585631670.00
Bermuda,6634526000.00,6312691000.00,6378188000.00,6465756000.00,6413988000.00,6654541000.00,6899911000.00,7142316000.00,7225977000.00,7423465000.00,6881662000.00
Bolivia,19649631308.00,23963033429.00,27084497482.00,30659338886.00,32996188017.00,33000198249.00,33941126194.00,37508642171.00,40287647931.00,40895322851.00,36629843806.00
Brazil,2208840000000.00,2616160000000.00,2465230000000.00,2472820000000.00,2456040000000.00,1802210000000.00,1795690000000.00,2063510000000.00,1916930000000.00,1873290000000.00,1448570000000.00
Barbados,4529928302.00,4657699461.00,4610095998.00,4677248302.00,4696344342.00,4724691213.00,4832811756.00,4981588900.00,5097283213.00,5304164323.00,4689534962.00
Brunei Darussalam,13707370737.00,18525319978.00,19047940301.00,18093829923.00,17098342541.00,12930394938.00,11400854268.00,12128104859.00,13567351175.00,13469422959.00,12005825770.00
Bhutan,1547991318.00,1777101317.00,1781281282.00,1756215665.00,1907090813.00,2003598213.00,2158972129.00,2450364928.00,2446866405.00,2535657069.00,2315436303.00
Botswana,12786654498.00,15351972361.00,14380004175.00,14901750991.00,15654660710.00,13578754072.00,15082578065.00,16088437675.00,16914245098.00,16695925027.00,14930072799.00
Central African Republic,2142591376.00,2437982840.00,2510126699.00,1691544192.00,1894813505.00,1695825708.00,1825018191.00,2072349974.00,2220978978.00,2221301401.00,2326720921.00
Canada,1617340000000.00,1793330000000.00,1828370000000.00,1846600000000.00,1805750000000.00,1556510000000.00,1527990000000.00,1649270000000.00,1725330000000.00,1742020000000.00,1645420000000.00
Central Europe and the Baltics,1318170000000.00,1449340000000.00,1353320000000.00,1422760000000.00,1465930000000.00,1293060000000.00,1321560000000.00,1464530000000.00,1645460000000.00,1673860000000.00,1654920000000.00
Switzerland,603434000000.00,722038000000.00,692110000000.00,712748000000.00,734397000000.00,702150000000.00,695601000000.00,704479000000.00,735539000000.00,731767000000.00,752248000000.00
Channel Islands,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chile,217105000000.00,251225000000.00,267176000000.00,277239000000.00,259405000000.00,242497000000.00,249299000000.00,276365000000.00,295403000000.00,278585000000.00,252727000000.00
China,6087160000000.00,7551500000000.00,8532230000000.00,9570410000000.00,10475700000000.00,11061600000000.00,11233300000000.00,12310400000000.00,13894800000000.00,14279900000000.00,14687700000000.00
Cote d'Ivoire,34936305297.00,36693712825.00,36302305578.00,42760237561.00,48843008580.00,45814637971.00,47964234560.00,51588158718.00,58011466451.00,58539424930.00,61348579465.00
Cameroon,27507499709.00,30630912185.00,30155064574.00,33728622819.00,36386546918.00,32210232912.00,33814337900.00,36098550142.00,39973839065.00,39670977333.00,40804449726.00
"Congo, Dem. Rep.",21565720044.00,25839749199.00,29306235826.00,32679745298.00,35909040266.00,37917704900.00,37134799975.00,38019265626.00,47568210068.00,51775830726.00,48716960860.00
"Congo, Rep.",13148396206.00,15655383586.00,17692911281.00,17958720704.00,17912907682.00,11890259177.00,10219341017.00,11094823677.00,13670038020.00,12750338736.00,10483151094.00
