Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3202234637,3310055866,2496648045
Africa Eastern and Southern,860478000000,964418000000,973043000000,983937000000,1003680000000,924253000000,882355000000,1020650000000,991022000000,997534000000,921646000000
Afghanistan,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326
Africa Western and Central,591596000000,670983000000,727570000000,820793000000,864990000000,760734000000,690546000000,683749000000,741690000000,794543000000,784446000000
Angola,81699556137,109437000000,124998000000,133402000000,137244000000,87219290029,49840494026,68972763787,77792940077,69309104807,53619071176
Albania,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15401830754,15131866271
Andorra,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149
Arab World,2327010000000,2547960000000,2778080000000,2834610000000,2876010000000,2518700000000,2495860000000,2584100000000,2785880000000,2808100000000,2496250000000
United Arab Emirates,289787000000,350666000000,374591000000,390108000000,403137000000,358135000000,357045000000,385606000000,422215000000,417216000000,358869000000
Argentina,423627000000,530163000000,545982000000,552025000000,526320000000,594749000000,557531000000,643629000000,524820000000,452818000000,389591000000
Armenia,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13619291361,12641209802
American Samoa,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,648000000,709000000
Antigua and Barbuda,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1605944444,1687533333,1370281481
Australia,1147590000000,1397910000000,1546510000000,1576340000000,1467500000000,1350530000000,1206690000000,1326880000000,1428530000000,1391950000000,1327840000000
Austria,392275000000,431685000000,409402000000,430191000000,442585000000,381971000000,395837000000,417261000000,455168000000,445012000000,433258000000
Azerbaijan,52909294792,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40865558912,47112941176,48174235294,42693000000
Burundi,2032135247,2235820868,2333341375,2451606684,2705783272,3104003611,2639321196,2712324087,2660123624,2581268126,2780510625
Belgium,481421000000,523330000000,496153000000,521791000000,535390000000,462336000000,476063000000,502765000000,543347000000,535376000000,521677000000
Benin,9535344283,10693321954,11141358945,12517845732,13284528654,11388160958,11821066153,12701654743,14262407011,14391686633,15651545332
Burkina Faso,10109618964,12080296644,12561016091,13444301139,13943016924,11832159276,12833363370,14106956830,15890065020,16178162030,17933606353
Bangladesh,115279000000,128638000000,133356000000,149990000000,172885000000,195079000000,265236000000,293755000000,321379000000,351238000000,373902000000
Bulgaria,50682061053,57678241024,54300857424,55810138436,57082011260,50781996713,53953897624,59199447421,66363422450,68915416142,69889347433
Bahrain,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37802005319,38653318085,34723357447
