Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,4.0,5.0,5.454545497894287,5.900000095367432,7.0,8.260000228881836,11.0,13.5,16.799999237060547,17.600000381469727,18.399999618530277
Albania,45.0,47.0,49.400001525878906,51.79999923706055,54.29999923706055,56.900001525878906,59.59999847412109,62.400001525878906,65.4000015258789,68.5503921508789,72.23999786376953
Algeria,12.5,14.899999618530272,18.200000762939453,22.5,29.5,38.20000076293945,42.94552612304688,47.69105529785156,49.03846740722656,57.900001525878906,62.900001525878906
American Samoa,,,,,,,,,,,
Andorra,81.0,81.0,82.69999694824219,84.4000015258789,86.0999984741211,87.9000015258789,89.69999694824219,91.56746673583984,,,
Angola,2.799999952316284,4.699999809265137,7.699999809265137,13.0,21.399999618530277,22.0,23.200000762939453,26.0,29.0,32.400001525878906,36.0
Antigua and Barbuda,47.0,52.0,58.0,63.400001525878906,67.77999877929688,70.0,73.0,,,,
Argentina,45.0,51.0,55.79999923706055,59.900001525878906,64.69999694824219,68.04306030273438,70.96897888183594,74.29490661621094,77.69999694824219,79.9000015258789,85.5
Armenia,25.0,32.0,37.5,41.900001525878906,54.622806549072266,59.100833892822266,64.34603118896484,64.74488067626953,68.24504852294922,66.54395294189453,76.51000213623047
Aruba,62.0,69.0,74.0,78.9000015258789,83.77999877929688,88.66122436523438,93.5424575805664,97.16999816894533,,,
Australia,76.0,79.48770141601562,79.0,83.45349884033203,84.0,84.56051635742188,86.54000091552734,86.54505157470703,87.5999984741211,88.5999984741211,89.5999984741211
Austria,75.16999816894531,78.739990234375,80.02999114990234,80.6187973022461,80.9958267211914,83.94013977050781,84.32374572753906,87.93558502197266,87.47913360595703,87.75220489501953,87.52942657470703
Azerbaijan,46.0,50.0,54.20000076293945,73.0,75.00001525878906,77.0,78.19999694824219,79.0,79.79999542236328,81.0999984741211,84.5999984741211
Bahamas,43.0,65.0,71.74819946289062,72.0,76.91999816894531,78.0,80.0,80.5999984741211,83.0,85.0,87.0
Bahrain,55.0,76.99996948242188,88.0,90.00003814697266,90.50313568115234,93.47830200195312,97.9999771118164,95.87813568115234,98.6446762084961,99.70149230957033,99.66999816894533
Bangladesh,3.700000047683716,4.5,5.0,6.630000114440918,11.899999618530272,12.899999618530272,18.100000381469727,19.799999237060547,21.799999237060547,23.799999237060547,24.799999237060547
Barbados,65.0999984741211,66.5,71.19999694824219,71.80000305175781,75.16000366210938,76.11000061035156,79.54940032958984,81.76078033447266,,,
Belarus,31.799999237060547,39.64889526367188,46.90999984741211,54.16999816894531,59.02000045776367,62.23036193847656,71.11304473876953,74.43644714355469,79.12989044189453,82.78915405273438,85.08999633789062
Belgium,75.0,81.60999298095703,80.7199935913086,82.17019653320312,85.0,85.05294036865234,86.5164794921875,87.67967987060547,88.64734649658203,90.27542877197266,91.5264129638672
Belize,28.200000762939453,30.700000762939453,31.0,33.599998474121094,38.70000076293945,41.59000015258789,44.57574081420898,47.08262634277344,49.79999923706055,50.79999923706055,
Benin,3.130000114440918,4.148323059082031,4.5,4.900000095367432,6.0,11.254987716674805,14.5,18.700000762939453,19.0,22.399999618530277,25.799999237060547
Bermuda,84.20999908447266,88.33599853515625,91.29930114746094,95.3000030517578,96.8000030517578,98.3236083984375,98.0,98.37000274658205,,,
Bhutan,13.600000381469728,14.399999618530272,15.600000381469728,22.399999618530277,30.299999237060547,39.79999923706055,41.77264404296875,46.20000076293945,49.5,53.5,53.5
Bolivia,22.399999618530277,30.0,35.34000015258789,36.9900016784668,34.599998474121094,37.4900016784668,39.697513580322266,43.832275390625,44.28614044189453,47.47481918334961,59.94010162353516
Bosnia and Herzegovina,42.75,43.88768768310547,45.06449890136719,48.52131271362305,49.91773223876953,52.59999847412109,60.256534576416016,64.89202117919922,70.12013244628906,69.94635009765625,73.20999908447266
Botswana,6.0,9.0,16.0,30.0,36.744747161865234,37.312049865722656,39.36299896240234,41.413795471191406,58.0,61.0,64.0
Brazil,40.650001525878906,45.68999862670898,48.560001373291016,51.040000915527344,54.551002502441406,58.32795333862305,60.87253952026367,67.47128295898438,70.43428039550781,73.91243743896484,81.34269714355469
British Virgin Islands,37.0,37.400001525878906,37.59999847412109,,,,77.70143127441406,77.70426940917969,,,
Brunei,53.0,56.0,60.27306365966797,64.5,68.7699966430664,71.19999694824219,90.0,94.86669158935548,95.0,95.0,95.0
Bulgaria,46.22999954223633,47.9799919128418,51.89998626708984,53.061500549316406,55.4900016784668,56.65625,59.82554626464844,63.41010284423828,64.78201293945312,67.94698333740234,70.16000366210938
Burkina Faso,2.400000095367432,3.0,3.725034952163696,5.0,6.0,8.0,12.0,16.799999237060547,17.399999618530273,18.0,22.0
Burundi,1.0,1.1100000143051147,1.21999990940094,1.2642180919647217,1.399999976158142,2.0,2.200000047683716,2.6607484817504883,4.099999904632568,6.199999809265137,9.399999618530272
Cambodia,1.2599999904632568,3.0999999046325684,4.940000057220459,6.0,14.0,18.0,32.39845275878906,32.9002799987793,,,
