Country,Internet Users,Population
China,"765,367,947","1,409,517,397"
India,"461,347,554","1,339,180,127"
United States,"244,090,854","324,459,463"
Brazil,"141,206,801","209,288,278"
Japan,"115,845,120","127,484,450"
Russia,"109,446,612","143,989,754"
Indonesia,"85,242,816","263,991,379"
Mexico,"82,470,752","129,163,276"
Germany,"69,304,405","82,114,224"
Philippines,"63,003,313","104,918,090"
United Kingdom,"62,621,016","66,181,585"
Pakistan,"61,837,331","220,800,300"
France,"52,308,536","64,979,548"
Turkey,"52,225,879","80,745,020"
Iran,"49,038,556","81,162,788"
South Korea,"48,484,084","50,982,212"
Vietnam,"47,359,575","95,540,800"
Egypt,"43,850,141","97,553,151"
Spain,"39,215,756","46,354,321"
Thailand,"36,513,941","69,037,513"
Italy,"36,387,619","59,359,900"
Canada,"33,950,632","36,624,199"
Argentina,"33,561,876","44,271,041"
South Africa,"31,858,027","56,717,156"
Nigeria,"30,557,175","190,015,955"
Colombia,"30,548,252","49,065,615"
Bangladesh,"30,530,435","164,669,751"
Poland,"29,005,924","38,170,712"
Saudi Arabia,"27,048,861","32,938,213"
Malaysia,"25,343,685","31,624,264"
Ukraine,"25,260,147","44,222,947"
Morocco,"22,072,765","35,739,580"
Taiwan,"21,920,626","23,626,456"
Australia,"21,159,515","24,450,561"
Venezuela,"20,564,451","31,977,065"
Algeria,"19,704,622","41,318,142"
Ethiopia,"19,543,075","104,957,438"
Iraq,"18,892,351","38,274,618"
Uzbekistan,"16,692,456","31,910,641"
Myanmar,"16,374,103","53,370,609"
Netherlands,"15,877,494","17,035,938"
Peru,"15,674,241","32,165,485"
Chile,"14,864,456","18,054,726"
Kazakhstan,"13,913,699","18,204,499"
Romania,"12,545,558","19,679,306"
Sudan,"12,512,639","40,533,330"
Ghana,"10,922,179","28,833,629"
Ivory Coast,"10,650,818","24,294,750"
Uganda,"10,162,807","42,862,958"
Belgium,"10,021,242","11,429,336"
Sweden,"9,554,907","9,910,701"
Ecuador,"9,521,056","16,624,858"
Tanzania,"9,169,603","57,310,019"
United Arab Emirates,"8,913,217","9,400,145"
Kenya,"8,861,485","49,699,862"
Czech Republic,"8,358,728","10,618,303"
Switzerland,"7,942,864","8,476,005"
Greece,"7,799,565","11,159,773"
Azerbaijan,"7,763,795","9,827,589"
Austria,"7,681,957","8,735,453"
Portugal,"7,622,142","10,329,506"
Yemen,"7,548,512","28,250,420"
Hungary,"7,461,297","9,721,559"
Sri Lanka,"7,121,116","20,876,917"
Belarus,"7,048,231","9,468,338"
Democratic Republic of the Congo,"7,011,507","81,339,988"
Dominican Republic,"6,997,472","10,766,998"
