,Country,2010_GDP,2011_GDP,2012_GDP,2013_GDP,2014_GDP,2015_GDP,2016_GDP,2017_GDP,2018_GDP,2019_GDP,2020_GDP,2010_Users,2011_Users,2012_Users,2013_Users,2014_Users,2015_Users,2016_Users,2017_Users,2018_Users,2019_Users,2020_Users
0,Aruba,2453631285.0,2637988827.0,2615083799.0,2727932961.0,2791061453.0,2963128492.0,2983798883.0,3092178771.0,3202234637.0,3310055866.0,2496648045.0,62.0,69.0,74.0,78.90000153,83.77999878,88.66122437,93.54245758,97.16999817,,,
1,Afghanistan,15856678596.0,17805113119.0,19907317066.0,20146404996.0,20497126770.0,19134211764.0,18116562465.0,18753469630.0,18053228579.0,18799450743.0,20116137326.0,4.0,5.0,5.454545498,5.900000095,7.0,8.260000229,11.0,13.5,16.79999924,17.60000038,18.39999962
2,Angola,81699556137.0,109437000000.0,124998000000.0,133402000000.0,137244000000.0,87219290029.0,49840494026.0,68972763787.0,77792940077.0,69309104807.0,53619071176.0,2.799999952,4.699999809,7.699999809,13.0,21.39999962,22.0,23.20000076,26.0,29.0,32.40000153,36.0
3,Albania,11926922829.0,12890764531.0,12319830437.0,12776220507.0,13228147516.0,11386850130.0,11861199831.0,13019689337.0,15156432310.0,15401830754.0,15131866271.0,45.0,47.0,49.40000153,51.79999924,54.29999924,56.90000153,59.59999847,62.40000153,65.40000153,68.55039215,72.23999786
4,Andorra,3449925739.0,3629133574.0,3188652765.0,3193512950.0,3271685597.0,2789881259.0,2896610480.0,3000162081.0,3218419897.0,3155149348.0,2891001149.0,81.0,81.0,82.69999695,84.40000153,86.09999847,87.90000153,89.69999695,91.56746674,,,
5,United Arab Emirates,289787000000.0,350666000000.0,374591000000.0,390108000000.0,403137000000.0,358135000000.0,357045000000.0,385606000000.0,422215000000.0,417216000000.0,358869000000.0,68.0,78.0,84.99999237,88.0,90.40000153,90.5,90.6000061,94.8199234,98.45000458,99.15000153,100.0
6,Argentina,423627000000.0,530163000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557531000000.0,643629000000.0,524820000000.0,452818000000.0,389591000000.0,45.0,51.0,55.79999924,59.90000153,64.69999695,68.0430603,70.96897888,74.29490662,77.69999695,79.90000153,85.5
7,Armenia,9260284938.0,10142111334.0,10619320049.0,11121465767.0,11609512940.0,10553337673.0,10546135160.0,11527458566.0,12457941907.0,13619291361.0,12641209802.0,25.0,32.0,37.5,41.90000153,54.62280655,59.10083389,64.34603119,64.74488068,68.24504852,66.54395294,76.51000214
8,American Samoa,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,648000000.0,709000000.0,,,,,,,,,,,
9,Antigua and Barbuda,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467977778.0,1605944444.0,1687533333.0,1370281481.0,47.0,52.0,58.0,63.40000153,67.77999878,70.0,73.0,,,,
10,Australia,1147590000000.0,1397910000000.0,1546510000000.0,1576340000000.0,1467500000000.0,1350530000000.0,1206690000000.0,1326880000000.0,1428530000000.0,1391950000000.0,1327840000000.0,76.0,79.48770142,79.0,83.45349884,84.0,84.56051636,86.54000092,86.54505157,87.59999847,88.59999847,89.59999847
11,Austria,392275000000.0,431685000000.0,409402000000.0,430191000000.0,442585000000.0,381971000000.0,395837000000.0,417261000000.0,455168000000.0,445012000000.0,433258000000.0,75.16999817,78.73999023,80.02999115,80.6187973,80.99582672,83.94013977,84.32374573,87.93558502,87.47913361,87.7522049,87.52942657
12,Azerbaijan,52909294792.0,65951627200.0,69683935845.0,74164435946.0,75244294275.0,53074370486.0,37867518957.0,40865558912.0,47112941176.0,48174235294.0,42693000000.0,46.0,50.0,54.20000076,73.0,75.00001526,77.0,78.19999695,79.0,79.79999542,81.09999847,84.59999847
13,Burundi,2032135247.0,2235820868.0,2333341375.0,2451606684.0,2705783272.0,3104003611.0,2639321196.0,2712324087.0,2660123624.0,2581268126.0,2780510625.0,1.0,1.110000014,1.219999909,1.264218092,1.399999976,2.0,2.200000048,2.660748482,4.099999905,6.199999809,9.399999619
14,Belgium,481421000000.0,523330000000.0,496153000000.0,521791000000.0,535390000000.0,462336000000.0,476063000000.0,502765000000.0,543347000000.0,535376000000.0,521677000000.0,75.0,81.60999298,80.71999359,82.17019653,85.0,85.05294037,86.51647949,87.67967987,88.6473465,90.27542877,91.52641296
15,Benin,9535344283.0,10693321954.0,11141358945.0,12517845732.0,13284528654.0,11388160958.0,11821066153.0,12701654743.0,14262407011.0,14391686633.0,15651545332.0,3.130000114,4.148323059,4.5,4.900000095,6.0,11.25498772,14.5,18.70000076,19.0,22.39999962,25.79999924
16,Burkina Faso,10109618964.0,12080296644.0,12561016091.0,13444301139.0,13943016924.0,11832159276.0,12833363370.0,14106956830.0,15890065020.0,16178162030.0,17933606353.0,2.400000095,3.0,3.725034952,5.0,6.0,8.0,12.0,16.79999924,17.39999962,18.0,22.0
17,Bangladesh,115279000000.0,128638000000.0,133356000000.0,149990000000.0,172885000000.0,195079000000.0,265236000000.0,293755000000.0,321379000000.0,351238000000.0,373902000000.0,3.700000048,4.5,5.0,6.630000114,11.89999962,12.89999962,18.10000038,19.79999924,21.79999924,23.79999924,24.79999924
18,Bulgaria,50682061053.0,57678241024.0,54300857424.0,55810138436.0,57082011260.0,50781996713.0,53953897624.0,59199447421.0,66363422450.0,68915416142.0,69889347433.0,46.22999954,47.97999191,51.89998627,53.06150055,55.49000168,56.65625,59.82554626,63.41010284,64.78201294,67.94698334,70.16000366
19,Bahrain,25713271277.0,28776595745.0,30749308511.0,32539468085.0,33387712766.0,31050638298.0,32234973404.0,35473776596.0,37802005319.0,38653318085.0,34723357447.0,55.0,76.99996948,88.0,90.00003815,90.50313568,93.478302,97.99997711,95.87813568,98.64467621,99.70149231,99.66999817
20,Bosnia and Herzegovina,17176781066.0,18644723861.0,17221192487.0,18172335776.0,18560861398.0,16219819344.0,16914287593.0,18079076427.0,20177422311.0,20201323283.0,19955120005.0,42.75,43.88768768,45.0644989,48.52131271,49.91773224,52.59999847,60.25653458,64.89202118,70.12013245,69.9463501,73.20999908
21,Belarus,57222490769.0,61757788945.0,65685102555.0,75527984234.0,78813839984.0,56454734397.0,47722657821.0,54726595249.0,60031262269.0,64409647194.0,61489588895.0,31.79999924,39.64889526,46.90999985,54.16999817,59.02000046,62.23036194,71.11304474,74.43644714,79.12989044,82.78915405,85.08999634
22,Belize,1387925188.0,1466822039.0,1531348953.0,1581844936.0,1676406802.0,1734320479.0,1796928937.0,1844906693.0,1887465218.0,1945250236.0,1585631670.0,28.20000076,30.70000076,31.0,33.59999847,38.70000076,41.59000015,44.57574081,47.08262634,49.79999924,50.79999924,
23,Bermuda,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6881662000.0,84.20999908,88.33599854,91.29930115,95.30000305,96.80000305,98.3236084,98.0,98.37000275,,,
24,Bolivia,19649631308.0,23963033429.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,33941126194.0,37508642171.0,40287647931.0,40895322851.0,36629843806.0,22.39999962,30.0,35.34000015,36.99000168,34.59999847,37.49000168,39.69751358,43.83227539,44.28614044,47.47481918,59.94010162
25,Brazil,2208840000000.0,2616160000000.0,2465230000000.0,2472820000000.0,2456040000000.0,1802210000000.0,1795690000000.0,2063510000000.0,1916930000000.0,1873290000000.0,1448570000000.0,40.65000153,45.68999863,48.56000137,51.04000092,54.5510025,58.32795334,60.87253952,67.47128296,70.4342804,73.91243744,81.34269714
26,Barbados,4529928302.0,4657699461.0,4610095998.0,4677248302.0,4696344342.0,4724691213.0,4832811756.0,4981588900.0,5097283213.0,5304164323.0,4689534962.0,65.09999847,66.5,71.19999695,71.80000305,75.16000366,76.11000061,79.54940033,81.76078033,,,
27,Bhutan,1547991318.0,1777101317.0,1781281282.0,1756215665.0,1907090813.0,2003598213.0,2158972129.0,2450364928.0,2446866405.0,2535657069.0,2315436303.0,13.60000038,14.39999962,15.60000038,22.39999962,30.29999924,39.79999924,41.77264404,46.20000076,49.5,53.5,53.5
28,Botswana,12786654498.0,15351972361.0,14380004175.0,14901750991.0,15654660710.0,13578754072.0,15082578065.0,16088437675.0,16914245098.0,16695925027.0,14930072799.0,6.0,9.0,16.0,30.0,36.74474716,37.31204987,39.36299896,41.41379547,58.0,61.0,64.0
29,Central African Republic,2142591376.0,2437982840.0,2510126699.0,1691544192.0,1894813505.0,1695825708.0,1825018191.0,2072349974.0,2220978978.0,2221301401.0,2326720921.0,2.0,2.200000048,2.400000095,2.5,2.700000048,2.900000095,3.099999905,4.0,5.099999905,8.300000191,10.39999962
