Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,4,5,5.454545498,5.900000095,7,8.260000229,11,13.5,16.79999924,17.60000038,18.39999962
Albania,45,47,49.40000153,51.79999924,54.29999924,56.90000153,59.59999847,62.40000153,65.40000153,68.55039215,72.23999786
Algeria,12.5,14.89999962,18.20000076,22.5,29.5,38.20000076,42.94552612,47.6910553,49.03846741,57.90000153,62.90000153
American Samoa,,,,,,,,,,,
Andorra,81,81,82.69999695,84.40000153,86.09999847,87.90000153,89.69999695,91.56746674,,,
Angola,2.799999952,4.699999809,7.699999809,13,21.39999962,22,23.20000076,26,29,32.40000153,36
Antigua and Barbuda,47,52,58,63.40000153,67.77999878,70,73,,,,
Argentina,45,51,55.79999924,59.90000153,64.69999695,68.0430603,70.96897888,74.29490662,77.69999695,79.90000153,85.5
Armenia,25,32,37.5,41.90000153,54.62280655,59.10083389,64.34603119,64.74488068,68.24504852,66.54395294,76.51000214
Aruba,62,69,74,78.90000153,83.77999878,88.66122437,93.54245758,97.16999817,,,
Australia,76,79.48770142,79,83.45349884,84,84.56051636,86.54000092,86.54505157,87.59999847,88.59999847,89.59999847
Austria,75.16999817,78.73999023,80.02999115,80.6187973,80.99582672,83.94013977,84.32374573,87.93558502,87.47913361,87.7522049,87.52942657
Azerbaijan,46,50,54.20000076,73,75.00001526,77,78.19999695,79,79.79999542,81.09999847,84.59999847
Bahamas,43,65,71.74819946,72,76.91999817,78,80,80.59999847,83,85,87
Bahrain,55,76.99996948,88,90.00003815,90.50313568,93.478302,97.99997711,95.87813568,98.64467621,99.70149231,99.66999817
Bangladesh,3.700000048,4.5,5,6.630000114,11.89999962,12.89999962,18.10000038,19.79999924,21.79999924,23.79999924,24.79999924
Barbados,65.09999847,66.5,71.19999695,71.80000305,75.16000366,76.11000061,79.54940033,81.76078033,,,
Belarus,31.79999924,39.64889526,46.90999985,54.16999817,59.02000046,62.23036194,71.11304474,74.43644714,79.12989044,82.78915405,85.08999634
Belgium,75,81.60999298,80.71999359,82.17019653,85,85.05294037,86.51647949,87.67967987,88.6473465,90.27542877,91.52641296
Belize,28.20000076,30.70000076,31,33.59999847,38.70000076,41.59000015,44.57574081,47.08262634,49.79999924,50.79999924,
Benin,3.130000114,4.148323059,4.5,4.900000095,6,11.25498772,14.5,18.70000076,19,22.39999962,25.79999924
Bermuda,84.20999908,88.33599854,91.29930115,95.30000305,96.80000305,98.3236084,98,98.37000275,,,
Bhutan,13.60000038,14.39999962,15.60000038,22.39999962,30.29999924,39.79999924,41.77264404,46.20000076,49.5,53.5,53.5
Bolivia,22.39999962,30,35.34000015,36.99000168,34.59999847,37.49000168,39.69751358,43.83227539,44.28614044,47.47481918,59.94010162
Bosnia and Herzegovina,42.75,43.88768768,45.0644989,48.52131271,49.91773224,52.59999847,60.25653458,64.89202118,70.12013245,69.9463501,73.20999908
Botswana,6,9,16,30,36.74474716,37.31204987,39.36299896,41.41379547,58,61,64
Brazil,40.65000153,45.68999863,48.56000137,51.04000092,54.5510025,58.32795334,60.87253952,67.47128296,70.4342804,73.91243744,81.34269714
British Virgin Islands,37,37.40000153,37.59999847,,,,77.70143127,77.70426941,,,
Brunei,53,56,60.27306366,64.5,68.76999664,71.19999695,90,94.86669159,95,95,95
Bulgaria,46.22999954,47.97999191,51.89998627,53.06150055,55.49000168,56.65625,59.82554626,63.41010284,64.78201294,67.94698334,70.16000366
Burkina Faso,2.400000095,3,3.725034952,5,6,8,12,16.79999924,17.39999962,18,22
Burundi,1,1.110000014,1.219999909,1.264218092,1.399999976,2,2.200000048,2.660748482,4.099999905,6.199999809,9.399999619
Cambodia,1.25999999,3.099999905,4.940000057,6,14,18,32.39845276,32.90028,,,
